content,adjectives,polarity
"Pusat oleh - oleh makanan ringan ini tidak hanya menyediakan makanan ringan khas Bandung tetapi juga makanan khas daerah lainnya . Walaupun terdapat banyak pilihan , namun makaroni setannya menjadi primadona buatku karena rangup dan pedasnya nendang . Sesuai dengan _URL_ tidak akan dilupakan rasanya deh . : D Cuma nyesel cuma beli 2 : ' (","[u'ringan', u'ringan', u'khas', u'khas', u'banyak']",positive
Terdapat banyak sekali jajanan ringan di sini dan salah satu yang paling saya senangi adalah tempe keju nya . Saya kenal akan tempat ini sejak 4 tahun yang lalu dan saya masih sering menghampiri toko ini hingga sekarang .,"[u'banyak', u'ringan', u'salah', u'nya', u'kenal', u'lalu', u'sering']",positive
"Tempat nya _URL_ indoor atau _URL_ tapi menarik . Rotinya gede "" size _URL_ pribadi _URL_ varian roti gandumnya.Klu datang malam _URL_ _URL_ 50% .","[u'menarik', u'gede', u'pribadi']",positive
"cafe ini merupakan anak dari restoran glosis yang terkenal . berada tepat di samping restoran glosis membuat cepat ditemukan . Saya tertarik pada menu smoothie bowl nya . Saya memesan yellow submarine yang merupakan cangkir yang berisi smoothie nanas , peach dan yogurt dengan potongan pisang , kiwi , granola , dan chia seeds . tentu makanan ini tidak diragukan lagi nilai gizinya . tempatnya pun sangat nyaman untuk . Lanjutan","[u'glosis', u'glosis', u'cepat', u'nya', u'nyaman']",positive
"Sebelum konsep mie dengan keju yang menumpuk di mangkok booming , cafe ini salah satu pencetusnya . Hampir seminggu sekali pasti mampir sini dari kampus . Walaupun banyak kejunya tapi tidak bikin eneg ko , bahkan nagih terus .","[u'salah', u'seminggu', u'pasti', u'banyak', u'nagih']",positive
"Menyediakan segala jenis makanan mie instant , roti dan lain - lain . Tempat makan buka hingga dini hari . Mie instantnya enak namun sekarang porsi kejunya berkurang","[u'lain', u'lain', u'dini']",positive
"Madtari ini menurut saya salah satu pelopor indomi keju di bandung , jadi indomi kuah dikasih topping keju, , nah di madtari ini keju nya banyak banget . Menurut saya sih enak , tapi keju nya kebanyakan, , jadi cepat kenyang . Untuk tempat sih biasa saja , tidak bagus . Harga nya tergolong murah sekitar 10 - 20 ribu untuk satu porsi mi","[u'salah', u'jadi', u'nah', u'banyak', u'jadi', u'cepat', u'kenyang', u'biasa', u'nya', u'murah']",positive
Cafe Madtari sudah sangat terkenal di Bandung . Tempat ini biasanya dipenuhi anak muda yang kumpul-kumpul sambil menikmati camilan bersama teman - teman . Saya dan teman - teman saya pun memesan roti bakar coklat keju dan pisang bakar coklat keju . Kejunya sangat banyak sehingga gurih dimakan bareng - bareng .,"[u'muda', u'banyak', u'bareng']",positive
"Camilan ( makanan ringan ) yang telah saya kenal bertahun - tahun ( sejak mahasiswa ) . Tempatnya yang strategis di sekitar jalan Dago ( dekat taman Flexi ) didekat dengan beberapa kampus di Bandung dan harganya yang relatif terjangkau membuat kedai ini sangat populer dikalangan mahasiswa di Bandung . Saya anggap luar biasa selain service - nya yang 24 jam , dengan harga yang relatif terjangkau kedai ini dapat menyajikan roti . Lanjutan","[u'ringan', u'kenal', u'strategis', u'dekat', u'relatif', u'populer', u'luar', u'biasa', u'relatif']",positive
"terkenal dengan pisang keju nya , keju yang banyak membuat hidangan menjadi menarik & gurih . Pilihan menu cukup beragam juga , mulai dari Indomie sampai pisang bakar , patut dicoba","[u'nya', u'banyak', u'cukup']",positive
"Makanannya berbagai macam dan harganyapun terjangkau . Cocok dilidah saya . Ada berbagai varian dari mulai sayuran , sop , ayam goreng , daging,usus,kulit,perkedel,dsb .",[u'Cocok'],positive
3 tauun dong makan siang di warung tegal inii terus . memang sempat bosann sama menunyaa . tapi ngangeniin juga . sekarang masii sering mampir buat makan sop buntut atau soto babatnya,"[u'sama', u'sering']",positive
"Self service , ambil yang kamu mau dan suka lalu bayar di kasir . Sajian hidangan khas kuliner Indonesia dengan rasa yang pas di lidah dan pas di kantong .","[u'lalu', u'khas', u'pas', u'pas']",positive
"saya makan di cabang lembang . lumayan juga , yang jelas bersih tempatnya . buat penggemar bakso bisa di cobain .","[u'lumayan', u'bersih']",positive
"Suasana dingin - dingin di Bandung , paling enak kulinernya iya makan makanan yang hangat - hangat . Kalau ada sedang kecapean mengitari Museum Pos Indonesia di Bandung , Museum Geologi , Gedung Sate dan Taman Lansia , arahkan sedikit ke arah PUSDAI untuk menikmati enaknya bakso dari kota dingin di Jawa Timur . Bakso , merupakan salah satu masakan khas dari kota Malang yang sangat disuka dan dicari . Di kotanya . Lanjutan","[u'dingin', u'dingin', u'sedikit', u'dingin', u'salah', u'khas']",positive
lokasinya strategis dan suasananya nyaman untuk ngobrol . makanannya banyak pilihan dan enak harganya juga terjangkau,"[u'strategis', u'nyaman', u'banyak']",positive
Nyaman ! Wifi ? ADA ! kenapa tidak di cobain saja berhubung dekat begini di dago Toiletnya bersih Wait . Harganya juga bersahabat dengan kantong . Sok di cobain heula < 3,"[u'Nyaman', u'dekat', u'bersih']",positive
"Janjian sama teman lama di temoat yang satu ini cukup menyenangkan . Tempatnya nyaman , santai , tenang , dan makanannya lumayan enak . Pelayanannya ramah dan cepat","[u'sama', u'lama', u'cukup', u'nyaman', u'tenang', u'lumayan', u'ramah', u'cepat']",positive
Tempat ini asik banget buat berkumpul . suasananya enak dan tidak bising . untuk minuman kebanyakan enak enak . kalau makanan yang harus dicoba adalah steaknya . rasanya dua jempol,[],positive
"Buat sekedar duduk ngerjain tugas akhir , enak banget suasanya nya juga nyaman tidak terlalu bising Utk makan dan minumannya juga highly recommended , bisa sharing-sharing sama teman - teman kalau mau lebih irit . Hihi","[u'akhir', u'nyaman', u'recommended', u'sama', u'irit']",positive
"mau makan atau cuma sekedar duduk ngobrol sama teman disini tempatnya cukup enak , buat ngerjain tugas atau rapat kecil juga enak .","[u'sama', u'cukup', u'kecil']",positive
"saya rasa judul ulasan ini sudah menggambarkan seluruh isi ulasan saya . tempat ini nyaman , wifi kencang , dan saikoro steaknya sangat sangat sangat berkesan untuk saya . saya ingat waktu itu 3 hari berturut-berturut kembali ke restoran ini demi saikoro steaknya . recommended !","[u'nyaman', u'kencang', u'recommended']",positive
"Ga sengaja kesini waktu tahun baruan . Pelayananya mantap . Ramah . Makannya macem"" . Puas banget kesini . Tempatnya juga enak kok","[u'mantap', u'Ramah']",positive
Kami dengan keluarga besar merayakan malam tahun baru Dinner di Restoran Mosaic . Menu makanannya enak dan beragam . Terima kasih buat Manajer Resto Pak Rifa,"[u'besar', u'baru']",positive
"sangat memuaskan dalam pelayanan di restoran mosaic , ramah-ramah dalam melayani dan tidak mengecewakan anda yang datang ke restoran ini","[u'ramah', u'ramah']",positive
"Sebenarnya menemukan cafe ini tanpa sengaja karena Restoran tujuan awal sangat penuh maka Kami mencari tempat lain dan ketemulah Pawon Pitu Cafe . Mungkin karena hari Natal dan siang hari jadi tempatnya tidak terlalu penuh . Lokasi smoking dan No Smoking terpisah . Menunya beragam , tradisional dan modern dan bisa untuk semua umur bahkan anak - anak . Menunya sudah paket dengan Nasi . Menu . Lanjutan","[u'awal', u'penuh', u'lain', u'jadi', u'penuh', u'tradisional', u'modern', u'umur']",positive
"Cafe ini buka dari waktu _URL_ biasanya klu kesini _URL_ nya cukup variatif dari cemilan ringan kayak pisang _URL_ tahu sampai makan berat . Nah biasanya sih klu kesini buat makan berat karena yang dicari sop buntut bakar atau iga _URL_ rasanya dan empuk,nggak bau.dimakan pakai sambal mangga rasanya _URL_ sudah pasti kenyang nya karena porsinya cukup besar ( buatku yaa . Lanjutan","[u'cukup', u'ringan', u'pasti', u'kenyang', u'nya', u'cukup', u'besar', u'yaa']",positive
"Layanannya oke , waiternya ramah jawab satu-satu pertanyaan tentang menunya . Sy pesan iga cut , katanya iganya manis , hahah beneran manis , tapi enak kok . dapat takjil gratis juga . Suasananya asik , sofanya nyaman , ada live musik , toilet bersih , ada musholla .","[u'ramah', u'manis', u'manis', u'nyaman', u'bersih']",positive
"Sudah lama ingin mencoba cafe ini , bentuk bangunan mengadopsi arsitektur Jawa tanpa menggunakan Ac . Desain cafe lumayanlah cukup nyaman untuk kumpul-kumpul , sangat disayangkan tidak ada pemisahan untuk pengunjung yang merokok dan tidak . Menu bervariasi dengan harga sedang dalam ukuran kecil jadi terasa mahal . Kami pesan mie godog jawa dan bubur kacang hijau rasanya biasa saja . Lontong kari yang saya pesan . Lanjutan","[u'lama', u'cukup', u'nyaman', u'kecil', u'jadi', u'hijau', u'biasa']",positive
"Sore hari desember musim hujan di bandung , kopi sore hari di pawon pitu terasa nikmat suasana dingin . Lanjut makan malam dihibur dengan life musik serta berbagai pilihan menu . Suasana sangat nyaman .","[u'nikmat', u'dingin', u'nyaman']",positive
"Outlet KFC ini selalu ramai pengunjung karena lokasinya sangat strategis di kawasan Bandung Indah Plaza ( BIP ) terutama saat akhir pekan tiba , mulai dari anak - anak hingga remasa dan dewasa . Menu andalannya tetap ayam goreng yang gurih dan lezat . Karena terlalu ramai kadang - kadang suasananya kurang nyaman , namun pelayanan stafnya cukup cekatan dan ramah .","[u'ramai', u'strategis', u'terutama', u'akhir', u'dewasa', u'tetap', u'lezat', u'ramai', u'nyaman', u'cukup', u'cekatan', u'ramah']",positive
"lokasinya tepat di bawah hotel jadi tidak terlalu ramai , jadi tidak perlu bingung untuk mencari lokasi tempat duduk .","[u'jadi', u'ramai', u'jadi', u'bingung']",positive
Resto ini merupakan resto cepat saji dengan layanan yang baik . Tempatnya cukup nyaman dengan penataan ruangan cukup serasi . Menu andalan adalah Ayam goreng . Ayam gorengnya rasanya gurih dan renyah . Apalagi kalau minta yang kering rasanya kriuk - kriuk hanya lebih pedas . Burgernya terasa enak dan nikmat . Rata - rata masakannya enak .,"[u'cepat', u'baik', u'cukup', u'nyaman', u'cukup', u'serasi', u'renyah', u'kering', u'pedas', u'nikmat']",positive
"tempat ini selalu rama , karena mungki sudah banyak fans berat dan rasanya dimana - mana hampir sama ( standar KFC) . Kelebihan KFC di Bandung pada umumnya adalah sayur dan jagung saladnya yang segar , penyeimbang fast food untuk makanan yang lebih sehat .","[u'banyak', u'berat', u'sama', u'umumnya', u'saladnya']",positive
"fast food , yaa KFC , tapi bedanya . disini ada live accoustic , sudah kaya cafe , nice atmosphere anyway","[u'kaya', u'nice']",positive
"Selalu padat fast food favorit dari anak muda ampe keluarga , ayam nya enak gede pas buat yang sudah keliling shopping , Cuma agak sedikit lama saat mengantri dan menunggu pesanan mungkin karena banyak pesanan kali iya , worth it with pocket lah .","[u'favorit', u'muda', u'gede', u'pas', u'sedikit', u'lama', u'banyak']",positive
"Kentucky ayam goreng , di BIP jl.merdeka bandung . Ayam nya renyah dan garing enak sih . Dan juga di mall BIP tempat bagus .","[u'renyah', u'garing']",positive
"Bagi saya yang memang pecinta ayam , makan di KFC bukanlah hal baru . Namun disaat pergi dengan anak kecil , terkadang fasilitas dan letak sebuah tempat makan jadi pertimbangan buat saya . Karena keponakan saya yang berumur athn sangat aktif , maka saya memilih KFC di jl . Merdeka ini . Selain luas , fasilitas bermain anak pun tersedia . Sehingga sambil menunggu pesanan , anak - anak bisa main gratis . Lanjutan","[u'baru', u'kecil', u'jadi', u'aktif', u'luas', u'bermain']",positive
"Kalau lagi menginap di Hotel Santika , saya dan keluarga sering mampir ke BIP untuk menikmati makan siang di Restoran KFC . Walaupun KFC BIP selalu ramai oleh pengunjung terutama pada saat akhir pekan namun selalu tersedia tempat duduk di dalam restoran .","[u'sering', u'ramai', u'terutama', u'akhir']",positive
"Berada tepat didepan BIP dan disebelah Gramedia Jl. merdeka , sebenernya lokasinya sangat mudah ditemukan , ditambah dengan logo KFC yang super besar setiap yang lewat depannya pasti sadar dengan resto ini . Parkirannya yang luas , kadang menjadi pertimbangan untuk makan ditempat ini . Cafenya sendiri sebenernya tidaklah terlalu besar , seperti KFC yang lain , dimana ruangan dibagi menjadi 2 ruangan , yaitu smoking dan non . Lanjutan","[u'mudah', u'besar', u'pasti', u'luas', u'sendiri', u'besar', u'lain', u'smoking']",positive
"Berada di lokasi keramaian sekelas BIP , restoran ayam goreng ini sangat laris . Kadang kala anda akan kesulitan mencari tempat duduk . lokasi tempat duduk ada yang indoor maupun outdoor . untuk rasa makanan iya sama saja kaya KFC yang lain . he, ,","[u'laris', u'sama', u'kaya', u'lain']",positive
"di kfc makanan favorit saya adalah ayam goreng yang biasa bukan yang renyah seperti kebanyakan orang , bumbunya begitu meresap hingga ke dalam daging ayam , tidak pernah bosan makan disini .","[u'favorit', u'biasa', u'renyah']",positive
"terletak didepan Plaza BIP , Parkiran yang luas dan buka 24 jam , merupakan tempat berkumpul dikala janjian dan tempat pertolongan dikala kelaparan di atas jam 1-1 malam , karena buka 24 jam so lanjut terus",[u'luas'],positive
"tempat yang tepat untuk menikmati malam setelah berkeliling kota , rehat sejenak dengan penganan dan makanan khas sajian kolonel sanders",[u'khas'],positive
"yang paling suka makan di KFC depan BIP adalah banyak pilihan tempat duduk dan buka 24 jam , bagi yang kelaparan malam-malam dan restoran pada tutup KFC ini pilihan yang tepat",[u'banyak'],positive
Bumbu yang enak dan murah dan mudah dijangkau dari PVJ . tempatnya biasa saja tidak ada yang spesial . tetapi makanan dan harganya menurut saya memuaskan,"[u'murah', u'mudah', u'biasa', u'spesial']",positive
rasa makanan cukup enak.pelayanan biasa _URL_ cukup strategis dekat eskalator turun dan naik mall PVJ.overall cukup saja .,"[u'cukup', u'biasa', u'cukup', u'strategis', u'dekat', u'cukup']",positive
"Tempatnya bisa terbilang cukup nyaman.Bagi seorang vegetarian,kadang kita pasti kangen rasanya daging.Alternatifnya adalah makan faunya meat.Harganya cukup terjangkau,dan rasanya juga enak .","[u'cukup', u'pasti', u'cukup']",positive
"cobain deh masakan vegetarian , sehat dan juga banyak varian apalagi bawa keluarga harga tidak terlalu mahal",[u'banyak'],positive
"cocok untuk vegetarian yang cepat bosan , karena menu di restoran ini cukup variatif . untuk harga cukup terjangkau dan lokasi yang bersih","[u'cocok', u'cepat', u'cukup', u'cukup', u'bersih']",positive
"Ada banyak restoran vegetarian di Bandung , salah satunya Ahimsa . Dengan lokasi yang mudah dijangkau , Ahimsa menjadi salah satu tujuan kuliner bagi penyuka masakan vegetarian . Dan yang paling penting harga di Ahimsa ini cukup terjangkau . Cocok untuk kuliner bersama teman - teman ataupun keluarga .","[u'banyak', u'salah', u'mudah', u'salah', u'penting', u'cukup', u'Cocok']",positive
"Begitu pesanan datang , yang terlintas dipikiran adalah porsi ny yang cukup banyak . selain porsinya banyak , sambalnya juga terasa seperti makanan padang di daerah aslinya . Pokoknya enak banget dan harganya bersaing . maknyuss .","[u'cukup', u'banyak', u'banyak']",positive
"Olympia resto ini sangat unik meski desain bangunannya tua tapi disulap menjadi resto dengan tampilan yang wah . Menu makannanya cukup variatif dan enak , pelayanannya baik , staffnya juga ramah - ramah .","[u'tua', u'cukup', u'baik', u'ramah', u'ramah']",positive
Seblaknya enak Seblaknya murah Seblaknya komplit Pedesnya bikin jontor Bisa kirim lewat aplikasi gojek Yahut,"[u'murah', u'komplit']",positive
Fav saya adalah mie ayam nya . Hanya memang aga terlalu manis . Saya pesan menu dessert baru . Es podeng . Enak juga sih Hanya es nya es krim bermerk kayaknya jadi es podeng nya tidak seperti yang biasa saya beli . Tp enak,"[u'nya', u'manis', u'baru', u'sih', u'jadi', u'biasa']",positive
"Waktu pertama buka , enak . tapi makin ke sini kualitasnya menurun . Mienya kurang rasa , juga kuahnya .",[u'kuahnya'],positive
"Akhirnya mie baso ramdhan masuk juga di tripadvisor . Untuk penggemar mie bakso boleh di coba mie bakso ini yang terletak di jl ramdhan . Tempatnya nyaman , bersih , pelayanan cukup ok . Ada ruang ac juga non ac tinggal pilih saja . Rasa untuk ukuran pendatang baru boleh juga , kami pesan mie tek tek dan bakso kuah rasanya ok , menu nya cukup banyak pilihan . Lanjutan","[u'nyaman', u'bersih', u'cukup', u'baru', u'cukup', u'banyak']",positive
Ada 2 pilihan ruangan . Ac dan non ac . Saya kebetulan pilih yang ber Ac . Menu nya banyak dari mie ayam . Mie baso . Mie goreng . Mie tek-tek . Rasanya enak . Porsinya juga banyak . Pelayanan nya bagus dan cepat . Meja nya tertata rapi sampai toilet juga rapih dan wangi . Beda dari tempat baso yang _URL_ nge - mie disini,"[u'banyak', u'banyak', u'cepat', u'rapi', u'rapih']",positive
Masakan aceh yang cukup enak . walaupun tidak aceh banget . Kari kambing nya _URL_ dua setelah kari kambing india . Nasi goreng kambing khas aceh dan mie gorengnya juga _URL_ timun serut sangat bagus buat menetralkan rasa lemak di makanan .,"[u'cukup', u'khas']",positive
"Mie Aceh Goreng Udang + Es Teh Tarik , enak banget . Sejauh ini Cie Rasa Loom adalah warung Mie Aceh terenak di Kota Bandung .",[u'terenak'],positive
"Walaupun tidak goceng lagi , minuman dan makanan kecil di kfc tetap favorit . Apalagi puding coklatnya .","[u'kecil', u'tetap', u'favorit']",positive
Makannya yang crunchy . serta segar dengan rasa yang mantap dan pelayanan yang sangat super ramah .,"[u'mantap', u'ramah']",positive
"Sehabis puas bermain di trans studio bandung , saya bersama teman sepakat untuk makan ayam kakek disini . Ayamnya selalu enak dan gurih !","[u'puas', u'bermain']",positive
"Ayam goreng si kakek Sanders ini memang maish tetap bisa dijadikan andalan untuk dibawa perjalanan jauh . Cepat saji , rasa enak , harga lumayan . Hanya saja saat saya kesana antrinya luar biasa panjang , jadi harus super duper sabar .","[u'tetap', u'jauh', u'Cepat', u'lumayan', u'luar', u'biasa', u'panjang', u'jadi']",positive
semua orang pasti sudah mengetahui KFC . Dengan pilihan crispy / original yang bumbu nya cukup berasa . Untuk kualitas rasa tidak perlu diragukan lagi .,"[u'pasti', u'cukup']",positive
"Saya dan seorang teman janjian untuk makan siang di tempat ini . Tempatnya cukup nyaman untuk bersantap siang dan bercengkrama bersama teman . Untuk menu , tentunya sama saja dengan outlet KFC yang lain , namun kalau di TSM ini tempatnya lebih luas .","[u'cukup', u'nyaman', u'sama', u'lain', u'luas']",positive
"sama seperti restoran kfc pada umumnya , tekstur ayamnya lumayan , hanya saja tempat kurang bersih . pelayanan nya baik","[u'sama', u'umumnya', u'lumayan', u'bersih', u'baik']",positive
"waktu malam-malam sekita rpukul 24 saya kesini untuk mencari makan . pelayanan cukup ramah , rasanya enak seperti di cabang KFC yang laen","[u'cukup', u'ramah']",positive
"Ketika menjelang tengah malam dan anda kelaparan anda pasti memikirkan makanan Fast Food , dan saya selalu membeli KFC ketika lapar tengah malam , akan tetapi kalau malam ada menu-menu yang saya sukai tidak availaible",[u'pasti'],positive
"KFC Bandung Supermall fasilitasnya lengkap & luas , agak jarang ditemukan diKFC lainnya . Keramahtamaan karyawannya juga sangat bagus","[u'lengkap', u'luas']",positive
Dekat dengan gerai ATM tetapi agak jorok bila ada gathering komunitas disini . Antrian terkadang sangat panjang dan hanya dibuka beberapa counter saja untuk memesan makanan,"[u'Dekat', u'jorok', u'panjang']",positive
"DEngan perjalan yang sangat jauh , membutuhkan lebih dari 8 jam dari kota ku tercinta . Harus aku dan teman - teman berhenti untuk bersandang di restoran untuk mengisi perut kita yang sudah kosong : D makan "" makan makan makan ye . rasanya enak , nikmat , kenyang , pokoknya luar biasa ( kenapa ) kalian harus ke sini , tapi jngan makan dulu . biar lebih nikmat","[u'jauh', u'kosong', u'nikmat', u'kenyang', u'luar', u'biasa', u'nikmat']",positive
"Sebetulnya bubur ayam ini biasa saja , tapi porsi ayam yang sangat melimpah membuat bubur ini terkenal . Ditambah sambelnya yang lezat di mulut .","[u'biasa', u'sambelnya', u'lezat']",positive
"Kalau malam - malam lapar dan ingin makan , makanan yang sehat dan menghangatkan tubuh . Bubur pak Otong adalah pilihan yang tepat . Buburnya tidak encer , dengan suiran ayam yang besar besar . Rasanya sudah cukup gurih . Bumbu tambahan yang disediakan adalah , sambal , kecap asin & merica . Dan yang paling penting harganya pun _URL_","[u'besar', u'besar', u'cukup', u'asin', u'penting']",positive
"Bubur kentalnya pas , topingnya banyak dan potongannya gede - gede ( cakue , ayam , ati ampela) . Tempatnya pinggir jalan , mungkin untuk sebagian orang tidak nyaman . Banyak yang makan di mobil/dibungkus untuk dibawa pulang . Datengnya biar aman ( sudah pasti siap jualan ) jam 5.30 atau jam 6 sore .","[u'pas', u'banyak', u'gede', u'gede', u'nyaman', u'Banyak', u'pasti', u'siap']",positive
"Tempatnyaa pinggir jalan dekat pasar andir , yah memang sich tempatnyaa kecil dan kurang kozie tapii kalau bahasa inggris nya mah dont luk buk by it koper rasanyaa juragan dijamin sudah ketagihan . harga @mangkok bubur ayam 1-1rb . penasaran? ? Coba saja langsung .","[u'dekat', u'kecil', u'kozie', u'penasaran', u'langsung']",positive
"Selalu ke sana di atas jam 6 . lokasinya pinggir jalan jadi kalau tidak nyaman bisa dibungkus saja . Ada pilihan toping cakue ( biasa) , ayam atau ati ampela . potongannya besar-besar dan banyak . bubut tidak terlalu kental dan gurih . porsi besar jadi bisa pesen porsi setengah .","[u'jadi', u'nyaman', u'biasa', u'besar', u'besar', u'banyak', u'kental', u'besar', u'jadi']",positive
"Makanan pinggir jalan ini memang layak dicoba , walaupun tempatnya tidak bisa dibilang bersih , tetapi masih punya meja kursi kecil . Buburnya enak , dan pelayanannya pun ramah . bahkan dia tidak mau menerima kembalian lebih .","[u'bersih', u'kecil', u'ramah']",positive
"tempatnya bersih dan rapi , banyak bermacam macam contoh cake dan kue buat acara pesta atau ulang tahun , pelayanan nya bagus dan ramah . black forest nya nyummy","[u'bersih', u'rapi', u'banyak', u'ramah', u'nyummy']",positive
"waktu itu lagi laper tapi tidak ingin makan , ya sudah akhirnya saya putuskan untuk ngemil di lareine kue & roti , roti nya lengkap dengan varian rasa , cocok buat yang lapar tapi males makan","[u'putuskan', u'lengkap', u'cocok']",positive
"kalau mau ngerasain roti jaman dulu , ini salah satu tempatnya . bukanya cm sampai sore , jadi kalau pulang kantor kadang tidak terlanjur ke sini","[u'salah', u'jadi']",positive
"Rasa martabak cukup lezat , karena penjual pun royal untuk menaburi banyak keju dan minyak wijen . Harga relatif murah . Untuk martabak asin nya pun juga lezat . Dan berasa lumer di mulut . Saya rasa berhak untuk diacungi jempol . Tempatnya pun unik seperti bentuk mobil Mainan .","[u'cukup', u'lezat', u'royal', u'banyak', u'relatif', u'murah', u'asin', u'lezat', u'lumer']",positive
"Pertama kali coba martabak manis ini . Daging martabak yang berwarna kehijauan , tapi tidka menyebarkan aroma pandan secara menyolok . Pengembang yang digunakan tidak menimbulkan rasa pahit di mulut . Taburan cokelat , susu dan kacang dalam jumlah yang memadai , sehingga tidak ada rasa saling mendominasi .",[u'manis'],positive
"Martabak unggulan paling enak di kompleks Margahayu Raya , harga lumayan mahal dibanding martabak lain , tapi sebanding dengan harga . Layanan OK . Khusus take away .","[u'lumayan', u'lain', u'Khusus', u'away']",positive
Langganan saya sejak dulu . Rasanya enak . Banyak varian rasanya . Harga terjangkau . Tidak buat enek perut . Yummy .,[u'Banyak'],positive
"positifnya : harga cukup terjangkau , pilihan produk beragam terlebih ada produk ramah terhadap kolestorel . hm . bisa jadi alternatif .","[u'cukup', u'ramah', u'jadi']",positive
Kwetiau disini enak . Saya suka versi halalnya . Bacang disini juga terkenal . Nasi gorengnya juga lumayan enak . Harganya termasuk mahal . bsrb per porsi,[u'lumayan'],positive
Restoran ini hanya buka sore hari dan setiap senin libur . Yang enak disini bihun goreng dan kwetiau gorengnya . Bacangnya pun salah satu yang terenak di Bandung .,"[u'salah', u'terenak']",positive
"Tempat makan sederhana dengan menu chinese food non halal , masih menggunakan arang dalam proses memasaknya sehingga memiliki aroma tersendiri . Menu yang terkenal antara lain kwetiaw goreng special , usus goreng saus mentega , bistik sapi . Buka mulai sore hari sekitar pukul 5 sore , disarankan datang lebih awal apabila ingin makan di tempat karena meja tempat makan sangat sedikit , tempat parkir juga terbatas . Lanjutan","[u'sederhana', u'tersendiri', u'lain', u'awal', u'sedikit']",positive
Jarang saya menemukan kwetiau goreng seenak ini . Saya mengenal tempat ini dari papah saya dan sejak itu selalu kesini kalau ingin makan kwetiau/bihun goreng . Harganya termasuk mahal ( borb per porsi ) tapi memang bahan - bahan yang dipakai berkualitas semua . Tempatnya pun bersih . Bacang babinya juga enak sekali !,[u'bersih'],positive
"Ayam khas cobek di bandung ini bikin selera makan kita semua keluarga , rasanya enak dan bumbu nya sampai meresap di dalam daging nya . dan ada juga ayam krispy nya , itu pun enak dan renyah _URL_ namanya sambel menggigit sekali/pedas , tapi mantap deh . ngak salah lagi ini paling top .","[u'khas', u'nya', u'nya', u'nya', u'renyah', u'sambel', u'mantap', u'salah']",positive
Ayam cobek adalah salah satu makanan favorit saya tiap berkunjung ke Bandung . Rasanya enak dan bumbunya meresap hingga ke dalam daging ayamnya . Mantap !,"[u'salah', u'favorit']",positive
"Ayam cobeknya sendiri sangat lembut , hingga ke daging dalamnya dengan rasa gurih plus pedes yang menggigit dari sambel cobeknya . Untuk yang tidak terlalu suka makan pedas , tinggalkan saja sambalnya dan nikmati si ayam dengan nasi liwet yang gurih . Ayam kriuk digoreng dengan sempurna sampai terasa renyah . Rasanya cenderung asin gurih dengan tekstur daging dalam yang lembut . Serundeng alias kriukan bisa . Lanjutan","[u'sendiri', u'lembut', u'pedas', u'sambalnya', u'sempurna', u'renyah', u'cenderung', u'asin', u'lembut']",positive
Meskipun tidak begitu istimewa rasanya namun cukup enak rasa ayam nya ditambah dengan krupuk krispy nya yang begitu renyah dan enak .,"[u'cukup', u'nya', u'renyah']",positive
Steaknya nyumi enak banget . pas di lidah . cabangnya di jakarta ada beberapa sih . harga juga cukup murah untuk ukuran steak berkelas . glosis ini salah satu pionir steak di bandung . juara sudah . bikin kabita lan katineung . glek,"[u'pas', u'cukup', u'murah', u'glosis', u'salah', u'glek']",positive
Steak disini selalu membuat ketagihan . Menu kesukaan pasti steak ayamnya . Sausnya top markotop . Pilihan kedua jatuh pada spaghetti don pedro nya .,"[u'pasti', u'nya']",positive
Restoran ini steak - nya enak . Banyak pilihannya . Harganya juga tidak terlalu mahal . Paling enak chicken steak - nya . Dari dulu sampai sekarang rasanya tidak pernah berubah .,"[u'nya', u'Banyak', u'nya']",positive
"Lumayan jika mau hangout dan dine ditempat ini steaknya sedikit berkualitas juga proses masak yang benar terutama mushroom sc enak banget tolong di pertahankan kualitasnya dengan harga yang masih standart,yg perlu di tingkatkan ruangan decorasi yang symple karena tempatnya tidak terlalu _URL_ anyway yang penting harga masih baik untukpelanggan .","[u'Lumayan', u'dine', u'sedikit', u'benar', u'terutama', u'penting', u'baik']",positive
"Saya coba makan glosis di hegarmanah , glosis harus dicoba adalah ribsnya dN tenderloin aus sangat enak , saus blackpepper jadi favorit","[u'coba', u'glosis', u'glosis', u'jadi', u'favorit']",positive
"Steak disini enak dan hargapun tidak terlalu mahal . Tempat yang baru di jalan cimanuk cukup besar . Walau ramai pengunjung , pelayanannya cukup cepat . Hanya manggil pelayannya cukup sulit .","[u'baru', u'cukup', u'besar', u'ramai', u'cukup', u'cepat', u'cukup', u'sulit']",positive
"Restoran ini sudah ada sejak dari saya kecil . Tempatnya baru pindah ke jalan cimanuk . Disini yang enak itu steak sapinya . Bumbunya luar biasa . Selain itu , steak ayamnya juga banyak digemari . Kalau pastamya biasa saja .","[u'kecil', u'baru', u'luar', u'biasa', u'banyak', u'biasa']",positive
"Saya dengan teman saya kesini untuk buka puasa,setengah jam sebelum buka puasa saya sudah order dan restopun masih sepi belum banyak orang , hingga buka puasapun makanan tak kunjung datang . hingga kami menunggu satu jam akhirnya makananpun datang . Saya memesan chicken honey apa begitu . rasanya oke , dagingnya empuk si honeynya kurang tasty . Saya mencicipi Chicken steak yang teman saya,rasanya kurang dan . Lanjutan",[u'banyak'],positive
